HLT,Sequence,Stream Name,Seed
HLTriggerFirstPath,0,null,null
HLT_AK8PFJet360_TrimMass30_v18,1,PhysicsHadronsTaus,L1_SingleJet180
HLT_AK8PFJet360_TrimMass30_v18,1,DQM,L1_SingleJet180
HLT_AK8PFJet380_TrimMass30_v11,2,PhysicsHadronsTaus,L1_SingleJet180
HLT_AK8PFJet380_TrimMass30_v11,2,DQM,L1_SingleJet180
HLT_AK8PFJet400_TrimMass30_v12,3,PhysicsHadronsTaus,L1_SingleJet180
HLT_AK8PFJet400_TrimMass30_v12,3,DQM,L1_SingleJet180
HLT_AK8PFJet420_TrimMass30_v11,4,DQM,L1_SingleJet180
HLT_AK8PFJet420_TrimMass30_v11,4,PhysicsHadronsTaus,L1_SingleJet180
HLT_AK8PFHT750_TrimMass50_v12,5,PhysicsHadronsTaus,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT750_TrimMass50_v12,5,DQM,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT800_TrimMass50_v12,6,PhysicsHadronsTaus,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT800_TrimMass50_v12,6,DQM,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT850_TrimMass50_v11,7,DQM,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT850_TrimMass50_v11,7,PhysicsHadronsTaus,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFHT900_TrimMass50_v11,8,PhysicsHadronsTaus,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
